"Tesla Model S P90D Ludicrous";2015;1176290;41000
"Tesla Model S 85D";2015;1046455;36500
"Tesla Model S 100D";2019;1717932;59900
"Tesla Model X ";2017;1648525;57500
"Tesla Model X ";2016;1706551;59900
"Tesla Model X 100D";2018;2320212;80900
"Tesla Model X P100D Performance EU";2020;3346000;116667
"Tesla Model 3 75 kWh RWD";2018;1032480;36000
"Tesla Model S P85D Ludicrous";2015;1097635;38500
"Tesla Model X P90D Europa Garantie";2016;2136000;75000
